dtm,f
2017-10-01 00:00:00,50.005
2017-10-01 00:01:00,49.992
2017-10-01 00:02:00,49.994
2017-10-01 00:03:00,49.997
2017-10-01 00:04:00,50.052
2017-10-01 00:05:00,50.057
2017-10-01 00:06:00,50.081
2017-10-01 00:07:00,50.053
2017-10-01 00:08:00,50.035
2017-10-01 00:09:00,50.029
2017-10-01 00:10:00,50.07100000000001
2017-10-01 00:11:00,50.003
2017-10-01 00:12:00,50.017
2017-10-01 00:13:00,49.901
2017-10-01 00:14:00,49.894
2017-10-01 00:15:00,49.937
2017-10-01 00:16:00,49.927
2017-10-01 00:17:00,49.93
2017-10-01 00:18:00,49.909
2017-10-01 00:19:00,49.933
2017-10-01 00:20:00,49.963
2017-10-01 00:21:00,49.9
2017-10-01 00:22:00,49.942
2017-10-01 00:23:00,49.909
2017-10-01 00:24:00,49.922
2017-10-01 00:25:00,49.95
2017-10-01 00:26:00,49.994
2017-10-01 00:27:00,50.011
2017-10-01 00:28:00,49.967
2017-10-01 00:29:00,49.979
2017-10-01 00:30:00,49.958
2017-10-01 00:31:00,49.944
2017-10-01 00:32:00,49.963
2017-10-01 00:33:00,49.938
2017-10-01 00:34:00,49.953
2017-10-01 00:35:00,49.952
2017-10-01 00:36:00,49.976000000000006
2017-10-01 00:37:00,49.995
2017-10-01 00:38:00,49.989
2017-10-01 00:39:00,50.014
2017-10-01 00:40:00,50.01
2017-10-01 00:41:00,49.997
2017-10-01 00:42:00,49.979
2017-10-01 00:43:00,49.982
2017-10-01 00:44:00,50.03
2017-10-01 00:45:00,50.01300000000001
2017-10-01 00:46:00,50.017
2017-10-01 00:47:00,50.029
2017-10-01 00:48:00,50.024
2017-10-01 00:49:00,50.052
2017-10-01 00:50:00,50.03
2017-10-01 00:51:00,50.01600000000001
2017-10-01 00:52:00,49.984
2017-10-01 00:53:00,50.027
2017-10-01 00:54:00,50.049
2017-10-01 00:55:00,50.036
2017-10-01 00:56:00,50.03
2017-10-01 00:57:00,50.028
2017-10-01 00:58:00,50.01600000000001
2017-10-01 00:59:00,50.012
2017-10-01 01:00:00,50.01600000000001
2017-10-01 01:01:00,49.981
2017-10-01 01:02:00,49.978
2017-10-01 01:03:00,49.976000000000006
2017-10-01 01:04:00,49.99
2017-10-01 01:05:00,50.032
2017-10-01 01:06:00,50.08
2017-10-01 01:07:00,50.08600000000001
2017-10-01 01:08:00,50.11
2017-10-01 01:09:00,50.108
2017-10-01 01:10:00,50.029
2017-10-01 01:11:00,50.035
2017-10-01 01:12:00,49.992
2017-10-01 01:13:00,49.964
2017-10-01 01:14:00,49.971
2017-10-01 01:15:00,49.968
2017-10-01 01:16:00,49.972
2017-10-01 01:17:00,49.974
2017-10-01 01:18:00,49.965
2017-10-01 01:19:00,49.949
2017-10-01 01:20:00,49.964
2017-10-01 01:21:00,49.96100000000001
2017-10-01 01:22:00,49.971
2017-10-01 01:23:00,49.989
2017-10-01 01:24:00,49.99100000000001
2017-10-01 01:25:00,50.032
2017-10-01 01:26:00,50.015
2017-10-01 01:27:00,50.04
2017-10-01 01:28:00,50.037
2017-10-01 01:29:00,50.032
2017-10-01 01:30:00,50.022
2017-10-01 01:31:00,49.963
2017-10-01 01:32:00,49.947
2017-10-01 01:33:00,49.93899999999999
2017-10-01 01:34:00,49.938
2017-10-01 01:35:00,49.93899999999999
2017-10-01 01:36:00,49.944
2017-10-01 01:37:00,49.93899999999999
2017-10-01 01:38:00,49.956
2017-10-01 01:39:00,49.959
2017-10-01 01:40:00,49.96100000000001
2017-10-01 01:41:00,49.952
2017-10-01 01:42:00,49.955
2017-10-01 01:43:00,49.945
2017-10-01 01:44:00,49.952
2017-10-01 01:45:00,49.95
2017-10-01 01:46:00,49.973
2017-10-01 01:47:00,49.997
2017-10-01 01:48:00,49.99800000000001
2017-10-01 01:49:00,49.967
2017-10-01 01:50:00,49.96100000000001
2017-10-01 01:51:00,49.962
2017-10-01 01:52:00,49.964
2017-10-01 01:53:00,49.963
2017-10-01 01:54:00,49.953
2017-10-01 01:55:00,49.969
2017-10-01 01:56:00,49.98
2017-10-01 01:57:00,49.97
2017-10-01 01:58:00,49.979
2017-10-01 01:59:00,49.973
2017-10-01 02:00:00,49.999
2017-10-01 02:01:00,49.972
2017-10-01 02:02:00,49.974
2017-10-01 02:03:00,49.96100000000001
2017-10-01 02:04:00,49.95399999999999
2017-10-01 02:05:00,49.973
2017-10-01 02:06:00,49.976000000000006
2017-10-01 02:07:00,49.916
2017-10-01 02:08:00,49.919
2017-10-01 02:09:00,49.964
2017-10-01 02:10:00,49.99800000000001
2017-10-01 02:11:00,49.997
2017-10-01 02:12:00,50.01600000000001
2017-10-01 02:13:00,50.024
2017-10-01 02:14:00,50.033
2017-10-01 02:15:00,50.037
2017-10-01 02:16:00,50.052
2017-10-01 02:17:00,50.043
2017-10-01 02:18:00,50.073
2017-10-01 02:19:00,50.098
2017-10-01 02:20:00,50.092
2017-10-01 02:21:00,50.07
2017-10-01 02:22:00,50.081
2017-10-01 02:23:00,50.085
2017-10-01 02:24:00,50.1
2017-10-01 02:25:00,50.103
2017-10-01 02:26:00,50.131
2017-10-01 02:27:00,50.108
2017-10-01 02:28:00,50.108
2017-10-01 02:29:00,50.075
2017-10-01 02:30:00,50.06800000000001
2017-10-01 02:31:00,50.059
2017-10-01 02:32:00,50.041
2017-10-01 02:33:00,50.019
2017-10-01 02:34:00,50.027
2017-10-01 02:35:00,49.952
2017-10-01 02:36:00,49.958
2017-10-01 02:37:00,49.972
2017-10-01 02:38:00,49.975
2017-10-01 02:39:00,49.968
2017-10-01 02:40:00,49.99100000000001
2017-10-01 02:41:00,50.014
2017-10-01 02:42:00,50.006
2017-10-01 02:43:00,49.984
2017-10-01 02:44:00,49.973
2017-10-01 02:45:00,49.949
2017-10-01 02:46:00,49.968
2017-10-01 02:47:00,49.944
2017-10-01 02:48:00,49.941
2017-10-01 02:49:00,49.953
2017-10-01 02:50:00,49.976000000000006
2017-10-01 02:51:00,49.981
2017-10-01 02:52:00,49.997
2017-10-01 02:53:00,50.015
2017-10-01 02:54:00,50.054
2017-10-01 02:55:00,50.075
2017-10-01 02:56:00,50.109
2017-10-01 02:57:00,50.12
2017-10-01 02:58:00,50.113
2017-10-01 02:59:00,50.147
2017-10-01 03:00:00,50.17100000000001
2017-10-01 03:01:00,50.113
2017-10-01 03:02:00,50.087
2017-10-01 03:03:00,50.085
2017-10-01 03:04:00,50.077
2017-10-01 03:05:00,50.076
2017-10-01 03:06:00,50.099
2017-10-01 03:07:00,50.09
2017-10-01 03:08:00,50.094
2017-10-01 03:09:00,50.107
2017-10-01 03:10:00,50.044
2017-10-01 03:11:00,50.044
2017-10-01 03:12:00,50.048
2017-10-01 03:13:00,50.058
2017-10-01 03:14:00,50.053
