dtm,f
2017-09-22 00:00:00,50.099
2017-09-22 00:01:00,50.049
2017-09-22 00:02:00,50.011
2017-09-22 00:03:00,50.019
2017-09-22 00:04:00,49.983
2017-09-22 00:05:00,49.994
2017-09-22 00:06:00,49.965
2017-09-22 00:07:00,49.965
2017-09-22 00:08:00,49.973
2017-09-22 00:09:00,49.99
2017-09-22 00:10:00,49.985
2017-09-22 00:11:00,49.99
2017-09-22 00:12:00,50.028
2017-09-22 00:13:00,50.029
2017-09-22 00:14:00,49.972
2017-09-22 00:15:00,49.937
2017-09-22 00:16:00,49.941
2017-09-22 00:17:00,49.938
2017-09-22 00:18:00,49.94600000000001
2017-09-22 00:19:00,49.922
2017-09-22 00:20:00,49.938
2017-09-22 00:21:00,49.905
2017-09-22 00:22:00,49.92100000000001
2017-09-22 00:23:00,49.938
2017-09-22 00:24:00,49.957
2017-09-22 00:25:00,49.949
2017-09-22 00:26:00,49.956
2017-09-22 00:27:00,49.992
2017-09-22 00:28:00,49.974
2017-09-22 00:29:00,49.986
2017-09-22 00:30:00,49.963
2017-09-22 00:31:00,49.944
2017-09-22 00:32:00,49.924
2017-09-22 00:33:00,49.927
2017-09-22 00:34:00,49.916
2017-09-22 00:35:00,49.942
2017-09-22 00:36:00,49.963
2017-09-22 00:37:00,49.92
2017-09-22 00:38:00,49.942
2017-09-22 00:39:00,49.941
2017-09-22 00:40:00,49.933
2017-09-22 00:41:00,49.914
2017-09-22 00:42:00,50.021
2017-09-22 00:43:00,50.017
2017-09-22 00:44:00,50.03
2017-09-22 00:45:00,50.01300000000001
2017-09-22 00:46:00,50.00100000000001
2017-09-22 00:47:00,49.997
2017-09-22 00:48:00,49.964
2017-09-22 00:49:00,50.002
2017-09-22 00:50:00,49.981
2017-09-22 00:51:00,49.981
2017-09-22 00:52:00,49.965
2017-09-22 00:53:00,49.989
2017-09-22 00:54:00,49.976000000000006
2017-09-22 00:55:00,49.993
2017-09-22 00:56:00,50.022
2017-09-22 00:57:00,50.019
2017-09-22 00:58:00,50.027
2017-09-22 00:59:00,49.986
2017-09-22 01:00:00,49.99100000000001
2017-09-22 01:01:00,49.871
2017-09-22 01:02:00,49.841
2017-09-22 01:03:00,49.861
2017-09-22 01:04:00,49.88399999999999
2017-09-22 01:05:00,49.913
2017-09-22 01:06:00,49.963
2017-09-22 01:07:00,50.002
2017-09-22 01:08:00,49.999
2017-09-22 01:09:00,50.022
2017-09-22 01:10:00,50.015
2017-09-22 01:11:00,50.04
2017-09-22 01:12:00,50.037
2017-09-22 01:13:00,50.024
2017-09-22 01:14:00,49.99100000000001
2017-09-22 01:15:00,49.968
2017-09-22 01:16:00,49.959
2017-09-22 01:17:00,49.947
2017-09-22 01:18:00,49.941
2017-09-22 01:19:00,49.941
2017-09-22 01:20:00,49.949
2017-09-22 01:21:00,49.951
2017-09-22 01:22:00,49.957
2017-09-22 01:23:00,49.96100000000001
2017-09-22 01:24:00,49.974
2017-09-22 01:25:00,49.999
2017-09-22 01:26:00,50.022
2017-09-22 01:27:00,49.945
2017-09-22 01:28:00,49.932
2017-09-22 01:29:00,49.924
2017-09-22 01:30:00,49.901
2017-09-22 01:31:00,49.86600000000001
2017-09-22 01:32:00,49.841
2017-09-22 01:33:00,49.922
2017-09-22 01:34:00,49.913
2017-09-22 01:35:00,49.926
2017-09-22 01:36:00,49.928
2017-09-22 01:37:00,49.908
2017-09-22 01:38:00,49.911
2017-09-22 01:39:00,49.924
2017-09-22 01:40:00,49.955
2017-09-22 01:41:00,49.957
2017-09-22 01:42:00,49.96100000000001
2017-09-22 01:43:00,49.937
2017-09-22 01:44:00,49.937
2017-09-22 01:45:00,49.929
2017-09-22 01:46:00,49.938
2017-09-22 01:47:00,49.955
2017-09-22 01:48:00,49.965
2017-09-22 01:49:00,49.957
2017-09-22 01:50:00,49.937
2017-09-22 01:51:00,49.938
2017-09-22 01:52:00,49.93899999999999
2017-09-22 01:53:00,49.94600000000001
2017-09-22 01:54:00,49.94
2017-09-22 01:55:00,49.958
2017-09-22 01:56:00,49.979
2017-09-22 01:57:00,49.98
2017-09-22 01:58:00,49.996
2017-09-22 01:59:00,50.024
2017-09-22 02:00:00,50.02
2017-09-22 02:01:00,50.017
2017-09-22 02:02:00,50.034
2017-09-22 02:03:00,50.07899999999999
2017-09-22 02:04:00,50.072
2017-09-22 02:05:00,50.085
2017-09-22 02:06:00,50.07100000000001
2017-09-22 02:07:00,49.985
2017-09-22 02:08:00,49.975
2017-09-22 02:09:00,49.965
